_id,id,bbox,centroid,title,title_en,title_ne,type,code,district,district_en,municipal_en,cases_count
5e8c4ea33e4d8a5ecdb0b119,31099,"[84.6647853747108, 27.4290844852293, 84.740635905383, 27.5654808841617]","{'type': 'Point', 'coordinates': [84.70624757629025, 27.492619536520866]}",Chitawan National Park,Chitawan National Park,,National Park,,31,Makwanpur,Chitawan National Park National Park,
5e8c4ea33e4d8a5ecdb0b11a,1001,"[87.5421948601386, 27.2681844402189, 87.6962478762788, 27.3712687945708]","{'type': 'Point', 'coordinates': [87.61937731907706, 27.309575032224497]}",Aathrai Tribeni,Aathrai Tribeni,आठराई त्रिवेणी,Rural Municipality,aathraitribenimun,1,Taplejung,Aathrai Tribeni Rural Municipality,
5e8c4ea33e4d8a5ecdb0b11b,19012,"[85.6543639714979, 26.8710154773874, 85.723703950567, 26.9555130297722]","{'type': 'Point', 'coordinates': [85.68691408598332, 26.914715700470374]}",Haripurwa,Haripurwa,हरिपुर्वा,Municipality,haripurmun,19,Sarlahi,Haripurwa Municipality,
5e8c4ea33e4d8a5ecdb0b11c,21002,"[86.1226394354194, 27.4495393477272, 86.4204315844708, 27.7190400165897]","{'type': 'Point', 'coordinates': [86.2642794743292, 27.576397684842508]}",Gokulganga,Gokulganga,गोकुलगङ्गा,Rural Municipality,gokulgangamun,21,Ramechhap,Gokulganga Rural Municipality,34.0
5e8c4ea33e4d8a5ecdb0b11d,21004,"[86.0866778621653, 27.3831350885877, 86.2629445741639, 27.5155878826257]","{'type': 'Point', 'coordinates': [86.1832746336586, 27.439344178233807]}",Likhu,Likhu,लिखु तामाकोशी,Rural Municipality,likhutamakoshimun,21,Ramechhap,Likhu Rural Municipality,
5e8c4ea33e4d8a5ecdb0b11e,34005,"[84.669872116382, 27.0592063170247, 84.721809509204, 27.1351476383776]","{'type': 'Point', 'coordinates': [84.69399535309248, 27.097077973182785]}",Dhobini,Dhobini,धोबीनी,Rural Municipality,dhobinimun,34,Parsa,Dhobini Rural Municipality,
5e8c4ea33e4d8a5ecdb0b11f,34007,"[84.6792374881445, 27.1540505583545, 84.7776479213788, 27.2487772258634]","{'type': 'Point', 'coordinates': [84.73228463864707, 27.200251254196875]}",Jirabhawani,Jirabhawani,जिराभवानी,Rural Municipality,jirabhawanimun,34,Parsa,Jirabhawani Rural Municipality,
5e8c4ea33e4d8a5ecdb0b120,34008,"[84.695594850347, 27.0345753711112, 84.7558673497195, 27.1169725163457]","{'type': 'Point', 'coordinates': [84.72645619164246, 27.066016729294077]}",Kalikamai,Kalikamai,कालिकामाई,Rural Municipality,kalikamaimun,34,Parsa,Kalikamai Rural Municipality,
5e8c4ea33e4d8a5ecdb0b121,34010,"[84.8288044969811, 27.0973603851522, 84.9505092369974, 27.2359362616494]","{'type': 'Point', 'coordinates': [84.88952411259923, 27.171023471765793]}",Parsagadhi,Parsagadhi,पर्सागढी,Municipality,parsagadhimun,34,Parsa,Parsagadhi Municipality,46.0
5e8c4ea33e4d8a5ecdb0b122,34011,"[84.7396564833025, 27.1260708095008, 84.8378807976794, 27.2462527249943]","{'type': 'Point', 'coordinates': [84.79020994347383, 27.19324310047889]}",Paterwasugauli,Paterwasugauli,पटेर्वा सुगौली,Rural Municipality,paterwasugaulimun,34,Parsa,Paterwasugauli Rural Municipality,73.0
