_id,id,bbox,centroid,title,title_en,title_ne,code,province,cases_count
5e8c4ea53e4d8a5ecdb0b411,59,"[81.2562642323406, 29.6049248741076, 82.4976345656177, 30.4472763312289]","{'type': 'Point', 'coordinates': [81.8798655626356, 30.03232237658345]}",Humla,Humla,हुम्ला,humla,6,2
5e8c4ea53e4d8a5ecdb0b412,61,"[81.4680665866001, 28.9710119079125, 82.0194323935586, 29.461659138163]","{'type': 'Point', 'coordinates': [81.75203278875941, 29.19511546221388]}",Kalikot,Kalikot,कालिकोट,kalikot,6,57
5e8c4ea53e4d8a5ecdb0b413,62,"[81.8200630318582, 28.6113336255645, 82.58018690224, 29.1275217484269]","{'type': 'Point', 'coordinates': [82.16787118974288, 28.865380352837356]}",Jajarkot,Jajarkot,जाजरकोट,jajarkot,6,19
5e8c4ea53e4d8a5ecdb0b414,65,"[81.0592010293138, 28.0689307446884, 81.7667110031986, 28.6747516937025]","{'type': 'Point', 'coordinates': [81.40151534237341, 28.383668908446907]}",Bardiya,Bardiya,वर्दिया,bardiya,5,199
5e8c4ea53e4d8a5ecdb0b415,67,"[80.4681980457778, 28.3945109653181, 81.2880294020196, 29.0681596767632]","{'type': 'Point', 'coordinates': [80.8792246054029, 28.741641922944602]}",Kailali,Kailali,कैलाली,kailali,7,942
5e8c4ea53e4d8a5ecdb0b416,69,"[81.026595105407, 28.7482784093156, 81.5820373826944, 29.3866712403906]","{'type': 'Point', 'coordinates': [81.29711239175032, 29.11256817441899]}",Achham,Achham,आछाम,achham,7,411
5e8c4ea53e4d8a5ecdb0b417,71,"[80.746080800933, 29.3909403159995, 81.5650144434031, 30.0543162975233]","{'type': 'Point', 'coordinates': [81.17871770328547, 29.708245162950185]}",Bajhang,Bajhang,वझाङ्ग,bajhang,7,149
5e8c4ea53e4d8a5ecdb0b418,72,"[80.3642144516166, 29.6050155964933, 81.1087482447345, 30.246722785497]","{'type': 'Point', 'coordinates': [80.7918926088294, 29.89194957501019]}",Darchula,Darchula,दार्चुला,darchula,7,20
5e8c4ea53e4d8a5ecdb0b419,74,"[80.1844656606324, 28.9932800862584, 80.7858680455084, 29.4251642317388]","{'type': 'Point', 'coordinates': [80.48906942024193, 29.223121930278023]}",Dadeldhura,Dadeldhura,डडेलधुरा,dadeldhura,7,266
5e8c4ea53e4d8a5ecdb0b41a,481,"[83.6770736271777, 27.4378229151552, 84.431360294216, 27.8698765972561]","{'type': 'Point', 'coordinates': [84.06217377809207, 27.687392178263668]}",Nawalparasi East,Nawalparasi East,नवलपरासी (बर्दघाट सुस्ता पूर्व),nawalparasieast,4,295
5e8c4ea53e4d8a5ecdb0b41b,482,"[83.5717699047103, 27.3467212103096, 83.9063794167129, 27.6933376341297]","{'type': 'Point', 'coordinates': [83.73871051466158, 27.52825076350813]}",Nawalparasi West,Nawalparasi West,नवलपरासी (बर्दघाट सुस्ता पश्चिम),nawalparasiwest,5,113
5e8c4ea53e4d8a5ecdb0b41c,542,"[82.1847362122291, 28.5209865769975, 82.7003018920112, 28.9920640172299]","{'type': 'Point', 'coordinates': [82.46045156349273, 28.738837863481795]}",Rukum West,Rukum West,रुकुम पश्चिम,rukumwest,6,35
